Route,Route_code
BLR → DEL,18
CCU → IXR → BBI → BLR,83
DEL → LKO → BOM → COK,117
CCU → NAG → BLR,90
BLR → NAG → DEL,29
CCU → BLR,63
BLR → BOM → DEL,5
DEL → BOM → COK,103
DEL → BLR → COK,102
MAA → CCU,126
CCU → BOM → BLR,65
DEL → AMD → BOM → COK,96
DEL → PNQ → COK,122
DEL → CCU → BOM → COK,104
BLR → COK → DEL,17
DEL → IDR → BOM → COK,112
DEL → LKO → COK,118
CCU → GAU → DEL → BLR,77
DEL → NAG → BOM → COK,121
CCU → MAA → BLR,89
DEL → HYD → COK,110
CCU → HYD → BLR,79
DEL → COK,105
CCU → DEL → BLR,72
BLR → BOM → AMD → DEL,3
BOM → DEL → HYD,45
DEL → MAA → COK,120
BOM → HYD,48
DEL → BHO → BOM → COK,101
DEL → JAI → BOM → COK,115
DEL → ATQ → BOM → COK,98
DEL → JDH → BOM → COK,116
CCU → BBI → BOM → BLR,61
BLR → MAA → DEL,28
DEL → GOI → BOM → COK,107
DEL → BDQ → BOM → COK,100
CCU → JAI → BOM → BLR,86
CCU → BBI → BLR,60
BLR → HYD → DEL,24
DEL → TRV → COK,124
CCU → IXR → DEL → BLR,84
DEL → IXU → BOM → COK,114
CCU → IXB → BLR,81
BLR → BOM → JDH → DEL,9
DEL → UDR → BOM → COK,125
DEL → HYD → MAA → COK,111
CCU → BOM → COK → BLR,66
BLR → CCU → DEL,15
CCU → BOM → GOI → BLR,67
DEL → RPR → NAG → BOM → COK,123
DEL → HYD → BOM → COK,109
CCU → DEL → AMD → BLR,71
CCU → PNQ → BLR,92
BLR → CCU → GAU → DEL,16
CCU → DEL → COK → BLR,73
BLR → PNQ → DEL,30
BOM → JDH → DEL → HYD,51
BLR → BOM → BHO → DEL,4
DEL → AMD → COK,97
BLR → LKO → DEL,27
CCU → GAU → BLR,76
BOM → GOI → HYD,46
CCU → BOM → AMD → BLR,64
DEL → MAA → BOM → COK,119
BLR → AMD → DEL,0
BLR → VGA → DEL,33
CCU → JAI → DEL → BLR,87
CCU → AMD → BLR,59
CCU → VNS → DEL → BLR,94
BLR → BOM → IDR → DEL,6
BLR → BBI → DEL,1
BLR → GOI → DEL,20
BOM → AMD → ISK → HYD,36
BOM → DED → DEL → HYD,44
CCU → PAT → BLR,91
BLR → CCU → BBI → DEL,12
CCU → BBI → HYD → BLR,62
BLR → BOM → NAG → DEL,10
BLR → CCU → BBI → HYD → DEL,13
BLR → GAU → DEL,19
BOM → BHO → DEL → HYD,39
BOM → JLR → HYD,53
DEL → IXC → BOM → COK,113
BLR → HYD → VGA → DEL,25
CCU → KNU → BLR,88
CCU → BOM → PNQ → BLR,69
DEL → BBI → COK,99
BLR → VGA → HYD → DEL,34
BOM → JDH → JAI → DEL → HYD,52
DEL → GWL → IDR → BOM → COK,108
CCU → RPR → HYD → BLR,93
CCU → VTZ → BLR,95
CCU → DEL → VGA → BLR,75
BLR → BOM → IDR → GWL → DEL,7
CCU → DEL → COK → TRV → BLR,74
BOM → COK → MAA → HYD,43
BOM → NDC → HYD,55
BLR → BDQ → DEL,2
CCU → BOM → TRV → BLR,70
CCU → BOM → HBX → BLR,68
BOM → BDQ → DEL → HYD,38
BOM → CCU → HYD,42
BLR → TRV → COK → DEL,32
BLR → IDR → DEL,26
CCU → IXZ → MAA → BLR,85
CCU → GAU → IMF → DEL → BLR,78
BOM → GOI → PNQ → HYD,47
BOM → BLR → CCU → BBI → HYD,40
BOM → MAA → HYD,54
BLR → BOM → UDR → DEL,11
BOM → UDR → DEL → HYD,57
BLR → VGA → VTZ → DEL,35
BLR → HBX → BOM → BHO → DEL,22
CCU → IXA → BLR,80
BOM → RPR → VTZ → HYD,56
BLR → HBX → BOM → AMD → DEL,21
BOM → IDR → DEL → HYD,49
DEL → DED → BOM → COK,106
BOM → BLR → HYD,41
BLR → STV → DEL,31
CCU → IXB → DEL → BLR,82
BOM → JAI → DEL → HYD,50
BOM → VNS → DEL → HYD,58
BLR → HBX → BOM → NAG → DEL,23
BLR → BOM → IXC → DEL,8
BLR → CCU → BBI → HYD → VGA → DEL,14
BOM → BBI → HYD,37
